            TIME               X               Y               Z              BX              BY              BZ             BMM         COMMENT
  1483228800.000          -4.010          -0.000          -0.010           8.172          -0.094        -312.586         312.693    EVENT       
  1483228800.000          -4.009          -0.000          -0.020          10.597          -0.094        -312.563         312.743    -           
  1483228800.000          -4.009          -0.000          -0.030          13.022          -0.094        -312.541         312.812    -           
  1483228800.000          -4.009          -0.000          -0.040          15.448          -0.094        -312.519         312.901    -           
  1483228800.000          -4.008          -0.000          -0.050          17.876          -0.094        -312.499         313.010    -           
  1483228800.000          -4.008          -0.000          -0.060          20.305          -0.094        -312.480         313.139    -           
  1483228800.000          -4.007          -0.000          -0.070          22.735          -0.094        -312.461         313.287    -           
  1483228800.000          -4.006          -0.000          -0.080          25.168          -0.094        -312.444         313.456    -           
  1483228800.000          -4.005          -0.000          -0.090          27.602          -0.094        -312.427         313.644    -           
  1483228800.000          -4.004          -0.000          -0.100          30.039          -0.094        -312.411         313.852    -           
  1483228800.000          -4.003          -0.000          -0.110          32.478          -0.094        -312.396         314.080    -           
  1483228800.000          -4.002          -0.000          -0.120          34.920          -0.094        -312.382         314.328    -           
  1483228800.000          -4.001          -0.000          -0.130          37.365          -0.093        -312.369         314.596    -           
  1483228800.000          -4.000          -0.000          -0.140          39.812          -0.093        -312.357         314.884    -           
  1483228800.000          -3.999          -0.000          -0.149          42.263          -0.093        -312.346         315.192    -           
  1483228800.000          -3.997          -0.000          -0.159          44.717          -0.093        -312.335         315.520    -           
  1483228800.000          -3.996          -0.000          -0.169          47.175          -0.093        -312.325         315.868    -           
  1483228800.000          -3.994          -0.000          -0.179          49.636          -0.093        -312.316         316.236    -           
  1483228800.000          -3.993          -0.000          -0.189          52.102          -0.093        -312.308         316.624    -           
  1483228800.000          -3.991          -0.000          -0.199          54.571          -0.093        -312.301         317.033    -           
  1483228800.000          -3.989          -0.000          -0.209          57.045          -0.093        -312.294         317.461    -           
  1483228800.000          -3.987          -0.000          -0.219          59.524          -0.093        -312.288         317.910    -           
  1483228800.000          -3.985          -0.000          -0.228          62.007          -0.093        -312.283         318.379    -           
  1483228800.000          -3.983          -0.000          -0.238          64.495          -0.093        -312.278         318.869    -           
  1483228800.000          -3.981          -0.000          -0.248          66.988          -0.093        -312.274         319.378    -           
  1483228800.000          -3.979          -0.000          -0.258          69.487          -0.092        -312.270         319.908    -           
  1483228800.000          -3.977          -0.000          -0.267          71.991          -0.092        -312.267         320.459    -           
  1483228800.000          -3.975          -0.000          -0.277          74.501          -0.092        -312.265         321.029    -           
  1483228800.000          -3.972          -0.000          -0.287          77.017          -0.092        -312.263         321.621    -           
  1483228800.000          -3.970          -0.000          -0.297          79.538          -0.092        -312.262         322.233    -           
  1483228800.000          -3.967          -0.000          -0.306          82.066          -0.092        -312.261         322.865    -           
  1483228800.000          -3.965          -0.000          -0.316          84.601          -0.092        -312.260         323.518    -           
  1483228800.000          -3.962          -0.000          -0.326          87.143          -0.092        -312.260         324.192    -           
  1483228800.000          -3.959          -0.000          -0.335          89.691          -0.092        -312.260         324.886    -           
  1483228800.000          -3.957          -0.000          -0.345          92.246          -0.091        -312.261         325.601    -           
  1483228800.000          -3.954          -0.000          -0.354          94.809          -0.091        -312.262         326.337    -           
  1483228800.000          -3.951          -0.000          -0.364          97.379          -0.091        -312.263         327.094    -           
  1483228800.000          -3.948          -0.000          -0.374          99.957          -0.091        -312.264         327.872    -           
  1483228800.000          -3.945          -0.000          -0.383         102.543          -0.091        -312.265         328.671    -           
  1483228800.000          -3.942          -0.000          -0.393         105.137          -0.091        -312.266         329.491    -           
  1483228800.000          -3.938          -0.000          -0.402         107.739          -0.091        -312.268         330.332    -           
  1483228800.000          -3.935          -0.000          -0.411         110.350          -0.090        -312.269         331.194    -           
  1483228800.000          -3.932          -0.000          -0.421         112.970          -0.090        -312.271         332.077    -           
  1483228800.000          -3.928          -0.000          -0.430         115.599          -0.090        -312.272         332.982    -           
  1483228800.000          -3.925          -0.000          -0.440         118.236          -0.090        -312.273         333.908    -           
  1483228800.000          -3.921          -0.000          -0.449         120.884          -0.090        -312.274         334.855    -           
  1483228800.000          -3.918          -0.000          -0.458         123.540          -0.090        -312.275         335.824    -           
  1483228800.000          -3.914          -0.000          -0.468         126.207          -0.089        -312.275         336.815    -           
  1483228800.000          -3.910          -0.000          -0.477         128.884          -0.089        -312.275         337.827    -           
  1483228800.000          -3.906          -0.000          -0.486         131.571          -0.089        -312.275         338.861    -           
  1483228800.000          -3.902          -0.000          -0.495         134.268          -0.089        -312.274         339.917    -           
  1483228800.000          -3.898          -0.000          -0.504         136.976          -0.089        -312.273         340.994    -           
  1483228800.000          -3.894          -0.000          -0.514         139.695          -0.088        -312.271         342.094    -           
  1483228800.000          -3.890          -0.000          -0.523         142.425          -0.088        -312.269         343.215    -           
  1483228800.000          -3.886          -0.000          -0.532         145.166          -0.088        -312.266         344.359    -           
  1483228800.000          -3.882          -0.000          -0.541         147.919          -0.088        -312.262         345.525    -           
  1483228800.000          -3.877          -0.000          -0.550         150.683          -0.088        -312.257         346.713    -           
  1483228800.000          -3.873          -0.000          -0.559         153.460          -0.087        -312.252         347.924    -           
  1483228800.000          -3.869          -0.000          -0.568         156.249          -0.087        -312.245         349.157    -           
  1483228800.000          -3.864          -0.000          -0.577         159.050          -0.087        -312.238         350.413    -           
  1483228800.000          -3.859          -0.000          -0.586         161.864          -0.087        -312.229         351.692    -           
  1483228800.000          -3.855          -0.000          -0.594         164.691          -0.086        -312.220         352.993    -           
  1483228800.000          -3.850          -0.000          -0.603         167.531          -0.086        -312.209         354.318    -           
  1483228800.000          -3.845          -0.000          -0.612         170.384          -0.086        -312.197         355.665    -           
  1483228800.000          -3.841          -0.000          -0.621         173.251          -0.086        -312.183         357.035    -           
  1483228800.000          -3.836          -0.000          -0.630         176.132          -0.085        -312.168         358.429    -           
  1483228800.000          -3.831          -0.000          -0.638         179.027          -0.085        -312.152         359.846    -           
  1483228800.000          -3.826          -0.000          -0.647         181.936          -0.085        -312.134         361.287    -           
  1483228800.000          -3.821          -0.000          -0.656         184.859          -0.085        -312.114         362.751    -           
  1483228800.000          -3.816          -0.000          -0.664         187.798          -0.084        -312.093         364.239    -           
  1483228800.000          -3.810          -0.000          -0.673         190.751          -0.084        -312.070         365.751    -           
  1483228800.000          -3.805          -0.000          -0.681         193.720          -0.084        -312.045         367.286    -           
  1483228800.000          -3.800          -0.000          -0.690         196.704          -0.083        -312.018         368.846    -           
  1483228800.000          -3.794          -0.000          -0.698         199.704          -0.083        -311.988         370.430    -           
  1483228800.000          -3.789          -0.000          -0.706         202.720          -0.083        -311.957         372.039    -           
  1483228800.000          -3.784          -0.000          -0.715         205.753          -0.083        -311.924         373.672    -           
  1483228800.000          -3.778          -0.000          -0.723         208.801          -0.082        -311.888         375.329    -           
  1483228800.000          -3.772          -0.000          -0.731         211.867          -0.082        -311.850         377.012    -           
  1483228800.000          -3.767          -0.000          -0.740         214.950          -0.082        -311.809         378.719    -           
  1483228800.000          -3.761          -0.000          -0.748         218.049          -0.081        -311.766         380.452    -           
  1483228800.000          -3.755          -0.000          -0.756         221.167          -0.081        -311.720         382.209    -           
  1483228800.000          -3.750          -0.000          -0.764         224.302          -0.081        -311.671         383.993    -           
  1483228800.000          -3.744          -0.000          -0.772         227.456          -0.080        -311.619         385.801    -           
  1483228800.000          -3.738          -0.000          -0.780         230.627          -0.080        -311.565         387.636    -           
  1483228800.000          -3.732          -0.000          -0.788         233.818          -0.080        -311.507         389.496    -           
  1483228800.000          -3.726          -0.000          -0.796         237.027          -0.079        -311.446         391.383    -           
  1483228800.000          -3.720          -0.000          -0.804         240.255          -0.079        -311.382         393.296    -           
  1483228800.000          -3.714          -0.000          -0.812         243.503          -0.079        -311.315         395.235    -           
  1483228800.000          -3.707          -0.000          -0.820         246.771          -0.078        -311.244         397.201    -           
  1483228800.000          -3.701          -0.000          -0.828         250.058          -0.078        -311.169         399.194    -           
  1483228800.000          -3.695          -0.000          -0.836         253.366          -0.078        -311.091         401.213    -           
  1483228800.000          -3.688          -0.000          -0.843         256.695          -0.077        -311.009         403.260    -           
  1483228800.000          -3.682          -0.000          -0.851         260.044          -0.077        -310.923         405.334    -           
  1483228800.000          -3.676          -0.000          -0.859         263.414          -0.076        -310.833         407.436    -           
  1483228800.000          -3.669          -0.000          -0.866         266.806          -0.076        -310.739         409.566    -           
  1483228800.000          -3.663          -0.000          -0.874         270.220          -0.076        -310.640         411.723    -           
  1483228800.000          -3.656          -0.000          -0.881         273.656          -0.075        -310.537         413.909    -           
  1483228800.000          -3.649          -0.000          -0.889         277.114          -0.075        -310.430         416.124    -           
  1483228800.000          -3.643          -0.000          -0.896         280.595          -0.074        -310.318         418.367    -           
  1483228800.000          -3.636          -0.000          -0.904         284.099          -0.074        -310.201         420.638    -           
