#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    25.23998136     75.62861565      0.01131300      0.09449610      0.12564181      0.17717910      0.22777946      0.28058409
    24.11607103     75.44696317      0.01230633      0.09992809      0.13337404      0.18657515      0.23968109      0.29567326
    23.03847102     75.26523250      0.01276828      0.10650478      0.14375809      0.19951121      0.25570475      0.31538294
    22.00503549     75.04263701      0.01401714      0.11651501      0.15834758      0.21911210      0.28029746      0.34539688
    21.00726946     74.86097689      0.01555423      0.12997657      0.17779534      0.24579784      0.31327270      0.38561484
    20.03810313     74.67925042      0.01641843      0.13879458      0.19152182      0.26393390      0.33524621      0.41186743
    19.09269957     74.49746121      0.01612234      0.13746839      0.19152998      0.26321604      0.33391078      0.40901446
    18.16429875     74.31561288      0.01628410      0.14196862      0.19906455      0.27391116      0.34663721      0.42327032
    17.25399241     74.13370909      0.01669967      0.14940486      0.21133307      0.29059515      0.36711819      0.44727838
    16.37100049     73.96766065      0.01809121      0.16296351      0.23286371      0.31967933      0.40386148      0.49114566
    15.52745266     73.78583448      0.01760247      0.15878156      0.22897825      0.31420425      0.39728825      0.48235664
    14.73763634     73.60396355      0.01791583      0.15893711      0.23229724      0.31874896      0.40325860      0.48983704
    14.01196107     73.42205150      0.01832975      0.15583092      0.23083429      0.31640133      0.40089081      0.48659201
    13.35273706     73.24010199      0.01886079      0.15726150      0.23608927      0.32382391      0.41079921      0.49914543
    12.75576097     73.05811869      0.02021175      0.16163588      0.24619168      0.33768197      0.42937356      0.52157755
    12.21515915     72.87610525      0.01957545      0.15186750      0.23395810      0.32186207      0.40925026      0.49735365
    11.72260875     72.69406534      0.01993736      0.14974278      0.23317100      0.32133396      0.40946384      0.49777588
    11.27108965     72.51200262      0.01904362      0.13927575      0.21893863      0.30216504      0.38528703      0.46861497
    10.85449160     72.38480766      0.01962285      0.14035004      0.22233405      0.30729100      0.39237216      0.47760675
    10.46732315     72.22024754      0.01971383      0.13871479      0.22132036      0.30630553      0.39173896      0.47695259
    10.10670490     72.03825842      0.02035080      0.13991979      0.22489499      0.31193928      0.39892328      0.48629078
     9.76865083     71.85625975      0.02081903      0.14111767      0.22807264      0.31674000      0.40528300      0.49382313
     9.45135149     71.67425520      0.02159913      0.14416058      0.23396230      0.32534366      0.41664872      0.50790643
     9.15284950     71.49224845      0.02294556      0.15241219      0.24844674      0.34578414      0.44297777      0.54019260
     8.87199825     71.31024316      0.02492821      0.16284338      0.26696210      0.37190889      0.47678203      0.58159798
     8.60772194     71.12824302      0.02513919      0.16341203      0.26885603      0.37502955      0.48091636      0.58685494
     8.35910958     70.94625170      0.02660301      0.17044738      0.28137585      0.39285523      0.50435819      0.61535025
     8.12538202     70.76427286      0.02917424      0.18511887      0.30707948      0.42948086      0.55069473      0.67259543
     7.90600063     70.58231017      0.03094815      0.18964897      0.31565167      0.44170858      0.56711100      0.69228419
     7.69992896     70.40036731      0.03045681      0.18901430      0.31590255      0.44209410      0.56534210      0.69174401
     7.50668755     70.21844794      0.03160276      0.19473700      0.32654196      0.45514655      0.58555391      0.71678222
     7.32571696     70.01689348      0.03269423      0.03043794      0.33294729      0.46794805      0.60029486      0.73414438
     7.15555917     69.83486216      0.03372136      0.20200612      0.34064697      0.47789165      0.61515377      0.75130404
     6.99338559     69.65286578      0.03439857      0.20376201      0.34464037      0.48405975      0.62249427      0.76116121
     6.83859584     69.47090799      0.03623503      0.21292750      0.36147264      0.50786077      0.65378081      0.79912053
     6.69136981     69.28899244      0.04007131      0.23344562      0.39673749      0.55815660      0.71901957      0.87918751
     6.55046716     69.10712280      0.04328998      0.24996609      0.42606905      0.59980462      0.77264298      0.94514920
     6.41633205     68.92530271      0.04640646      0.26570986      0.45398227      0.63963044      0.82404187      1.00813549
     6.28817024     68.79718136      0.05022116      0.28431134      0.49497000      0.68648889      0.88472296      2.58520084
     6.16525636     68.61539633      0.05326333      0.30151553      0.51711536      0.72950332      0.94107833      1.15101861
     6.04736149     68.43367072      0.05654569      0.31838374      0.54724899      0.77219084      0.99612627      1.21964347
     5.93436837     68.23067101      0.05961933      0.33701312      0.58021888      0.81989674      1.05721262      1.29506206
     5.82619095     68.04890977      0.06385365      0.35873939      0.61844504      0.87406392      1.12798831      1.38112374
     5.72212041     67.86721936      0.06805924      0.38298021      0.66112017      0.93473078      1.20660671      1.47802776
     5.62131043     67.68560340      0.07304569      0.40885238      0.70722565      1.00035463      1.29178029      1.58213203
     5.52506679     67.50406547      0.07754851      0.43539042      0.75455900      1.06663773      1.37895080      1.69037458
     5.43128953     67.32260919      0.08213179      0.46265642      0.80145782      1.13447163      1.46567222      1.79627804
     5.34127335     67.11887626      0.08733020      0.49134732      0.85235735      1.20799505      1.56055538      1.91265068
     5.25425770     66.99040398      0.09245013      0.52463609      0.91213333      1.29152038      1.67101845      2.04798738
     5.17022321     66.80896730      0.09852792      0.56329581      0.97921556      1.38885040      1.79596640      2.20113445
     5.08904795     66.62762617      0.10603663      0.60439924      1.05146136      1.49147671      1.92836568      2.36398258
     5.01003643     66.42337473      0.11325401      0.64482357      1.12727131      1.60000932      2.06854010      2.53629898
     4.93319663     66.24207532      0.11942023      0.69544547      1.21156662      1.71994279      2.22639224      2.72862173
     4.85907543     66.06088275      0.12998437      0.75041530      1.30965350      1.85935219      2.40575074      2.95072548
     4.78640168     65.87980054      0.13923768      0.81481679      1.42213312      2.02070408      2.61506711      3.20865820
     4.71638177     65.72761750      0.14651565      0.88391355      1.54461758      2.19516583      2.84006372      3.48540572
     4.64832550     65.54651657      0.16051026      0.95852242      1.67685869      2.38388738      3.08545998      3.78583915
     4.58219260     65.36553626      0.16898035      1.04014926      1.82057617      2.58959355      3.35339557      4.11437915
     4.51742559     65.16051381      0.18597239      1.13134669      1.98422379      2.82240685      3.65531423      4.48544706
     4.45453454     64.97962920      0.20019177      1.23476229      2.16625434      3.08177972      3.99084150      4.89981315
     4.39343761     64.79887635      0.21563942      1.34769400      2.36512884      3.36736096      4.36250998      5.35450028
     4.33412575     64.67024589      0.23086020      1.46929853      2.58259582      3.67676891      4.77498919      5.84980446
     4.27557318     64.46487436      0.25115556      1.60654804      2.82567809      4.02400266      5.21533200      6.40310905
     4.21929639     64.28428495      0.26820253      1.75341574      3.08731776      4.39797024      5.69012884      7.00006189
     4.16408129     64.10384087      0.28754328      1.92020565      3.38327021      4.82122486      6.24996332      7.67468093
     4.11009550     63.89824692      0.30927351      2.10820543      3.72003115      5.30356149      6.87684031      8.44650836
     4.05734630     63.71795217      0.33446711      2.32838023      4.10638696      5.85607076      7.59497339      9.33002123
     4.00557736     63.56370317      0.36361710      2.57393450      4.54663993      6.48646288      8.41570717     10.33639785
