#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    19.19336263     75.62861565      0.03062501      0.14418807      0.22230105      0.32223071      0.42396934      0.51680665
    18.89994944     75.44696317      0.02977883      0.14467462      0.22197384      0.31990067      0.42125694      0.51474580
    18.59779076     75.33553851      0.02903383      0.14652558      0.22351985      0.32065511      0.42168980      0.51651084
    18.28682810     75.20954069      0.02879016      0.14959791      0.22694890      0.32373705      0.42584516      0.52268796
    17.96689392     75.09824286      0.02855774      0.15335283      0.23203405      0.32900217      0.43173040      0.53083937
    17.63827185     74.97214410      0.02836111      0.15705213      0.23687411      0.33414868      0.43731167      0.53881824
    17.30111814     74.86097689      0.02774225      0.15926096      0.24100580      0.33780117      0.44080812      0.54369287
    16.95573926     74.73478157      0.02734515      0.16264242      0.24397425      0.34091543      0.44318566      0.54672358
    16.60289436     74.60847506      0.02759732      0.16915590      0.25424900      0.35342579      0.45819235      0.56494332
    16.24352754     74.49746121      0.02821268      0.17727803      0.26605921      0.36896912      0.47649213      0.58712001
    15.87864771     74.37106473      0.02709572      0.17512753      0.26376896      0.36437726      0.46934721      0.57777026
    15.51036121     74.20479965      0.02553561      0.16930462      0.25482774      0.35184612      0.45184467      0.55528812
    15.13993874     74.07832906      0.02511694      0.16998655      0.25700887      0.35378570      0.45330951      0.55630707
    14.77018700     73.96766065      0.02462955      0.16857861      0.25574672      0.35198633      0.44995991      0.55108109
    14.40285555     73.84110991      0.02343083      0.16318852      0.24806273      0.34116466      0.43566678      0.53322646
    14.04021353     73.71445643      0.02335187      0.16349147      0.24979781      0.34229238      0.43774724      0.53451866
    13.68481414     73.60396355      0.02302448      0.16201499      0.24836417      0.34146709      0.43552095      0.53146346
    13.33763131     73.47723658      0.02332294      0.16426564      0.25290035      0.34763165      0.44337498      0.54083961
    13.00016208     73.35041026      0.02451175      0.17210861      0.26661721      0.36671727      0.46755772      0.56999909
    12.67365531     73.24010199      0.02323195      0.16272144      0.25300208      0.34810579      0.44392959      0.54088030
    12.35797402     73.11320888      0.02258870      0.15736263      0.24592070      0.33884789      0.43206563      0.52628698
