#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    24.50393523     75.62861565      0.01209967      0.09829463      0.13183090      0.18440162      0.23765535      0.29384053
    23.47681872     75.44696317      0.01279775      0.10381001      0.14006933      0.19469274      0.25066673      0.30983044
    22.48482671     75.26523250      0.01476527      0.11167621      0.15174946      0.20993996      0.26961758      0.33302663
    21.52245901     75.04263701      0.01505761      0.12305890      0.16871579      0.23268888      0.29802541      0.36751291
    20.58648229     74.86097689      0.01640029      0.13522981      0.18669078      0.25635523      0.32764667      0.40307965
    19.66967153     74.67925042      0.01662922      0.13939467      0.19372846      0.26625328      0.33847799      0.41548334
    18.76695330     74.49746121      0.01616564      0.13814526      0.19356609      0.26578334      0.33708242      0.41257902
    17.87730329     74.31561288      0.01666370      0.14503434      0.20450274      0.28077672      0.35527705      0.43393395
    17.00379716     74.13370909      0.01709557      0.15139335      0.21483395      0.29502495      0.37290390      0.45411324
    16.15480668     73.96766065      0.01853899      0.15937780      0.23823201      0.32719305      0.41345353      0.50263779
    15.34354232     73.78583448      0.01783195      0.15902376      0.23048947      0.31600760      0.39942481      0.48512293
    14.58374911     73.60396355      0.01772427      0.15693204      0.23053504      0.31608726      0.40004524      0.48541457
    13.88399013     73.42205150      0.01825752      0.15612588      0.23201463      0.31812245      0.40301063      0.48862226
    13.24732520     73.24010199      0.01965156      0.15957629      0.24209980      0.32989507      0.41876234      0.50848664
    12.66847501     73.05811869      0.01974649      0.15673484      0.23931767      0.32880492      0.41503265      0.50746987
    12.14208792     72.87610525      0.01961143      0.15124611      0.23338302      0.32086116      0.40855597      0.49649238
    11.66072292     72.69406534      0.01987344      0.14808262      0.23097820      0.31834529      0.40561270      0.49318754
    11.21835269     72.51200262      0.01917641      0.13934991      0.22138410      0.30288577      0.38631735      0.47022515
    10.80871930     72.38480766      0.01969754      0.14009860      0.22213866      0.30726595      0.39229844      0.47753498
    10.42806641     72.22024754      0.01994751      0.13887925      0.22171181      0.30719271      0.39763518      0.47804721
    10.07242796     72.03825842      0.02034694      0.14009842      0.22524789      0.31268093      0.39965586      0.48690259
     9.73847391     71.85625975      0.02115756      0.14126018      0.22844558      0.31742516      0.40609157      0.49478382
     9.42482711     71.67425520      0.02136158      0.14461486      0.23496753      0.32657749      0.41821061      0.50989202
     9.12942687     71.49224845      0.02313374      0.15331971      0.25017738      0.34820806      0.44621771      0.54399599
     8.85113179     71.31024316      0.02488404      0.16347964      0.26771980      0.37309086      0.47822243      0.58337033
     8.58933315     71.12824302      0.02518643      0.16356755      0.26904807      0.37462346      0.48143118      0.58743893
     8.34251575     70.94625170      0.02670558      0.17125549      0.28299202      0.39497120      0.50712295      0.61883378
     8.11084533     70.76427286      0.02919917      0.18602477      0.30855227      0.43735184      0.55379374      0.67577071
     7.89295534     70.58231017      0.03019420      0.18935248      0.31546584      0.44154964      0.56672229      0.69120578
     7.68800943     70.40036731      0.03045089      0.18933749      0.31648027      0.44311658      0.56778049      0.69300051
     7.49598473     70.21844794      0.03171251      0.19482175      0.32631662      0.45615900      0.58665420      0.71834358
     7.31645522     70.01689348      0.03256783      0.19876907      0.33337670      0.46855792      0.60133152      0.73560736
     7.14674793     69.83486216      0.03369551      0.20219941      0.34100829      0.47839642      0.61558190      0.75231238
     6.98554636     69.65286578      0.03443298      0.20257233      0.34476217      0.48428136      0.62314476      0.76175593
     6.83152004     69.47090799      0.03640215      0.21373011      0.36261378      0.51010015      0.65667745      0.80272693
     6.68508512     69.28899244      0.04045045      0.23421931      0.39858319      0.56078326      0.72214520      0.88305836
     6.54450403     69.10712280      0.04345589      0.25060048      0.42690273      0.60141733      0.77485717      0.94764846
     6.41121369     68.92530271      0.04642308      0.26633444      0.45457706      0.64128547      0.82667358      1.01142489
     6.28322553     68.79718136      0.05013107      0.28502114      0.48821317      0.68845055      0.88754717      1.08683427
     6.16043456     68.61539633      0.05347780      0.30227715      0.51832882      0.73132329      0.94296332      1.15427725
     6.04327966     68.43367072      0.05668553      0.31865789      0.54833121      0.77395008      0.99864328      1.22235313
     5.93106744     68.23067101      0.05999777      0.33783264      0.58170705      0.82117003      1.05970147      1.29781258
     5.82302919     68.04890977      0.06441706      0.35936044      0.62071506      0.87584506      1.13047605      1.38479337
     5.71903235     67.86721936      0.06817021      0.38363053      0.66272600      0.93650360      1.20897973      1.48159536
     5.61827002     67.68560340      0.07326373      0.41007697      0.70907311      1.00319296      1.29526670      1.58687534
     5.52213156     67.50406547      0.07775772      0.43657116      0.75606720      1.07000786      1.38165084      1.69239626
     5.42913382     67.32260919      0.08026134      0.46329490      0.80304476      1.13739634      1.46951109      1.80037589
     5.33917353     67.11887626      0.08729497      0.49178365      0.85269904      1.20931932      1.56311707      1.91541179
     5.25220182     66.99040398      0.09297446      0.52619463      0.91350543      1.29465958      1.67387562      2.05240619
     5.16821410     66.80896730      0.09903011      0.56437317      0.98152516      1.39154468      1.79881837      2.20547700
     5.08706684     66.62762617      0.10609606      0.60537320      1.05284114      1.49377074      1.93207542      2.36843569
     5.00811581     66.42337473      0.11294807      0.64770794      1.12860510      1.60680968      2.07207524      2.54065933
     4.93135336     66.24207532      0.12038367      0.69565497      1.21380005      1.72322080      2.22952675      2.73387898
     4.85726816     66.06088275      0.12962083      0.75240515      1.31260849      1.86355408      2.41130525      2.95725279
     4.78523092     65.87980054      0.13972962      0.81577471      1.42383883      2.02309014      2.61798873      3.21150889
     4.71520540     65.72761750      0.14974935      0.88551617      1.54703766      2.19830552      2.84518725      3.49007741
     4.64717226     65.54651657      0.16049572      0.95929868      1.67939139      2.38590551      3.08917108      3.79080669
     4.58105294     65.36553626      0.17212128      1.04102483      1.82390260      2.59269847      3.35702884      4.12040248
     4.51634731     65.16051381      0.18511188      1.13299970      1.98573650      2.82611770      3.66033809      4.49198933
     4.45344574     64.97962920      0.20000419      1.23678632      2.16940537      3.08280099      3.99764536      4.90581672
     4.39243771     64.79887635      0.21649326      1.34953244      2.36883269      3.37210831      4.36808325      5.36350141
     4.33315809     64.67024589      0.23226249      1.47164939      2.58657761      3.74883066      4.77281828      5.85857232
