#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    48.14924120     75.62861565      0.00394038      0.20489887      0.34883466      0.46930482      0.61371422      0.73433462
    46.65992831     75.44696317      0.00380611      0.04983733      0.06313650      0.08968002      0.11031148      0.13476757
    45.00756382     75.33553851      0.00348362      0.04956748      0.06218989      0.08948294      0.10927846      0.13340345
    43.12707211     75.20954069      0.00318368      0.04747250      0.05326188      0.08549323      0.10377377      0.12364985
    40.89795865     75.09824286      0.00268641      0.04337735      0.05228160      0.07821445      0.09397220      0.11587559
    38.07417689     74.97214410      0.08144916      0.30508101      0.36545608      0.48957048      0.70274906      0.77402393
    34.10582071     74.86097689      0.00158234      0.03595005      0.04097300      0.06433206      0.07444213      0.09325633
    29.13734985     74.73478157      0.00201360      0.05119439      0.05966966      0.08848202      0.10398089      0.12818464
    25.90676680     74.60847506      0.00362900      0.07183733      0.08751702      0.12434217      0.15008721      0.18207622
    23.88032692     74.49746121      0.00535897      0.08518833      0.10754173      0.14984815      0.18321491      0.22142662
    22.35919258     74.37106473      0.00704951      0.09826996      0.12684633      0.17553707      0.21632210      0.26157931
    21.09514916     74.20479965      0.00897098      0.11459351      0.15023101      0.20743272      0.25733933      0.31166282
    19.98181321     74.07832906      0.01029115      0.12499681      0.16661703      0.22923999      0.28558275      0.34602179
    18.96703556     73.96766065      0.01059675      0.12533520      0.16800054      0.23237153      0.29001809      0.35129706
    18.02391739     73.84110991      0.01146634      0.13161169      0.17845736      0.24680630      0.30883296      0.37412130
    17.14228261     73.71445643      0.01223342      0.13926277      0.19060252      0.26322628      0.33036122      0.39989707
    16.32181672     73.60396355      0.01378630      0.15353031      0.21313641      0.29377672      0.36912229      0.44677961
    15.56582391     73.47723658      0.01393434      0.15045224      0.21133653      0.29060153      0.36582498      0.44284498
    14.87720874     73.35041026      0.01475031      0.15274917      0.21776897      0.29898226      0.37683801      0.45628155
    14.25511480     73.24010199      0.01486825      0.14833500      0.21468440      0.29412631      0.37162249      0.45023436
    13.69451408     73.11320888      0.01605442      0.15019418      0.21967466      0.30124275      0.38068453      0.46166549
    13.18855273     73.00306075      0.01716836      0.15645543      0.23220854      0.31890677      0.40401811      0.48992089
    12.72962820     72.82109676      0.01791802      0.15603426      0.23497916      0.32256149      0.40923534      0.49665070
    12.31077975     72.69406534      0.01784008      0.14915637      0.22689567      0.31149086      0.39576093      0.48072560
    11.92582932     72.58418246      0.01808723      0.14721701      0.22610523      0.31095167      0.39540944      0.48070788
    11.56965881     72.45709641      0.01802519      0.14184984      0.21982235      0.30272781      0.38543084      0.46851262
    11.23807541     72.32992079      0.01793014      0.13712287      0.21412400      0.29524457      0.37622682      0.45757860
    10.92776368     72.22024754      0.01855886      0.13834828      0.21782796      0.30068591      0.38348496      0.46665372
    10.63594801     72.09302403      0.01858453      0.13808710      0.21673108      0.29907041      0.38263963      0.46572055
    10.36020758     71.96571443      0.01909858      0.13720335      0.21848328      0.30273708      0.38643238      0.47055199
    10.09913828     71.85625975      0.01945471      0.13843239      0.22141870      0.30684463      0.39228349      0.47774726
     9.85086610     71.72890901      0.01561427      0.13935551      0.22398049      0.31039631      0.39616639      0.48400428
     9.61444959     71.60147570      0.02020558      0.14074583      0.22731372      0.31542660      0.40375218      0.49189519
     9.38913846     71.49224845      0.02089255      0.14403368      0.23311937      0.32403458      0.41475730      0.50547785
     9.17394419     71.36478076      0.02211898      0.15014727      0.24410783      0.33955728      0.43487763      0.53015440
     8.96826700     71.23723402      0.02366592      0.15883525      0.25901911      0.36055719      0.46190763      0.56336609
     8.77175866     71.07380058      0.02367060      0.16249673      0.26639415      0.37092011      0.47541615      0.57982500
     8.58371487     70.94625170      0.02463359      0.16228339      0.26667212      0.37168367      0.47666405      0.58144367
     8.40370954     70.81862790      0.02543373      0.16714905      0.27540942      0.38348885      0.49225152      0.60077097
     8.23166259     70.69093038      0.02730000      0.17693768      0.29227328      0.40784817      0.52343826      0.63853581
     8.06718792     70.58231017      0.02931561      0.18683259      0.30961620      0.43250975      0.55535928      0.67750061
     7.90984235     70.45459521      0.02968809      0.18848344      0.31292191      0.43764436      0.56175163      0.68574469
     7.75902958     70.32681010      0.02977606      0.18703157      0.31144072      0.43562799      0.55938214      0.68294294
     7.61481438     70.21844794      0.03035397      0.18973146      0.31690164      0.44369935      0.57008024      0.69621536
     7.47667306     70.09065216      0.03138318      0.19374512      0.32469974      0.45482283      0.58461112      0.71399619
     7.34396855     69.96278983      0.03224109      0.19684996      0.33062337      0.46338717      0.59573032      0.72759448
     7.21732374     69.83486216      0.03293173      0.19948872      0.33610578      0.47121803      0.60598888      0.74063027
     7.09547729     69.72682808      0.03374278      0.20214899      0.34254550      0.47896900      0.61610243      0.75298497
     6.97841644     69.59889890      0.03415914      0.20309862      0.34348565      0.48230908      0.62054972      0.75863100
     6.86567382     69.47090799      0.03540490      0.20932656      0.35471073      0.49825023      0.64162628      0.78443003
     6.75757567     69.34285658      0.03793113      0.22290608      0.37858230      0.53243651      0.68543997      0.83806436
     6.65342461     69.23516657      0.04063181      0.23829024      0.40327161      0.56919808      0.73284701      0.89623126
     6.55322440     69.10712280      0.04283375      0.24891994      0.42423094      0.59724268      0.76915545      0.94077719
     6.45627152     68.97902217      0.04430274      0.25963238      0.44178973      0.62401678      0.80421727      0.98350031
     6.36245519     68.85086591      0.04738336      0.27269010      0.46587977      0.65619674      0.84634931      1.03544886
     6.27228826     68.72265527      0.05040566      0.28568204      0.48951809      0.69013318      0.88976069      1.08876814
     6.18505594     68.61539633      0.05276104      0.29795970      0.51112831      0.72096693      0.92922348      1.13736462
     6.10020623     68.48720487      0.05441558      0.30960237      0.53180585      0.75047767      0.96803336      1.18490053
     6.01816957     68.30546556      0.05694380      0.32249218      0.55373802      0.78180544      1.00713316      1.23473548
     5.93828401     68.17721149      0.05951456      0.33553174      0.57783784      0.81571298      1.05293941      1.28887553
     5.86120559     68.04890977      0.06216762      0.36511260      0.60386166      0.85342421      1.10094060      1.34845406
     5.78619167     67.94218747      0.06512950      0.36667199      0.63247395      0.89430046      1.15446442      1.41369516
     5.71321092     67.81391743      0.06831343      0.38423565      0.66332983      0.93805289      1.21133380      1.48256189
     5.64224973     67.68560340      0.07169940      0.40271481      0.69548561      0.98399467      1.27070241      1.55681117
