#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    25.23998136     75.62861565      0.01988481      0.07303709      0.12589854      0.17711092      0.22784117      0.27862789
    24.11607103     75.44696317      0.02125113      0.07740021      0.13301541      0.18721330      0.24047329      0.29408931
    23.03847102     75.26523250      0.02328474      0.08287124      0.14241587      0.20025188      0.25737222      0.31469302
    22.00503549     75.04263701      0.02597713      0.09117173      0.15632124      0.21992287      0.28204428      0.34540313
    21.00726946     74.86097689      0.02967287      0.10231634      0.17529012      0.24608763      0.31665223      0.38657877
    20.03810313     74.67925042      0.03231362      0.10979207      0.18758073      1.74482389      0.33816066      0.41370718
    19.09269957     74.49746121      0.03282583      0.10930707      0.18628663      0.26180971      0.33665854      0.41113301
    18.16429875     74.31561288      0.03460571      0.11272178      0.19271772      0.27078128      0.34815081      0.42520346
    17.25399241     74.13370909      0.03742181      0.11970127      0.20332169      0.28678182      0.36737020      0.44898463
    16.37100049     73.96766065      0.04144715      0.13120727      0.22254265      0.31276650      0.40251585      0.49148939
    15.52745266     73.78583448      0.04099482      0.12864718      0.21814505      0.30657484      0.39439105      0.48183928
    14.73763634     73.60396355      0.04162043      0.13047802      0.22091775      0.31051360      0.39946828      0.48806261
    14.01196107     73.42205150      0.04196298      0.12974971      0.21942167      0.30845328      0.39698464      0.48506214
    13.35273706     73.24010199      0.04303545      0.13296661      0.22499773      0.31619100      0.40687602      0.49730422
    12.75576097     73.05811869      0.04478973      0.13910415      0.23502020      0.33037024      0.42509802      0.51958969
    12.21515915     72.87610525      0.04278295      0.13273501      0.22421352      0.31514595      0.40553564      0.49545813
    11.72260875     72.69406534      0.04270869      0.13270924      0.22421958      0.31505645      0.40512152      0.49573066
    11.27108965     72.51200262      0.04021059      0.12503273      0.21082374      0.29633481      0.38138424      0.46639734
    10.85449160     72.38480766      0.04074898      0.12731003      0.21478232      0.30174048      0.38852716      0.47482529
    10.46732315     72.22024754      0.04071539      0.12701102      0.21439418      0.30133159      0.38765036      0.47416722
    10.10670490     72.03825842      0.04137601      0.12937689      0.21834010      0.30663547      0.39485406      0.48576059
     9.76865083     71.85625975      0.04191270      0.13133756      0.22163411      0.31151316      0.40107370      0.48934649
     9.45135149     71.67425520      0.04293588      0.13500227      0.22782733      0.32011627      0.41217310      0.50405227
     9.15284950     71.49224845      0.04541183      0.14338670      0.24252470      0.34035917      0.43819486      0.53603747
     8.87199825     71.31024316      0.04922634      0.15432293      0.26051197      0.36630993      0.47154014      0.57697064
     8.60772194     71.12824302      0.04906980      0.15548770      0.26283840      0.36954645      0.47603520      0.58238683
     8.35910958     70.94625170      0.05107163      0.16277182      0.27558619      0.38745665      0.50115018      0.61095939
     8.12538202     70.76427286      0.05516409      0.17806621      0.30103535      0.41901252      0.54576263      0.66755570
     7.90600063     70.58231017      0.05666452      0.18324157      0.30997292      0.43669909      0.56166907      0.68684295
     7.69992896     70.40036731      0.05709362      0.18421133      0.31088182      0.43689052      0.56208351      0.68730565
     7.50668755     70.21844794      0.05865443      0.18961590      0.32014695      0.45032236      0.58103043      0.71198972
     7.32571696     70.01689348      0.05903264      0.19359758      0.32901104      0.46332255      0.59648383      0.73002780
     7.15555917     69.83486216      0.05978351      0.19839229      0.33646968      0.47012897      0.61050742      0.74718064
     6.99338559     69.65286578      0.06022034      0.20086086      0.34103259      0.47994857      0.61872109      0.75742105
     6.83859584     69.47090799      0.06255576      0.21097780      0.35791377      0.50431124      0.64996696      0.79546794
     6.69136981     69.28899244      0.06831504      0.23198230      0.39387376      0.55584739      0.71533609      0.87590387
     6.55046716     69.10712280      0.07282283      0.24900821      0.42337530      0.59649536      0.76892717      0.94158566
     6.41633205     68.92530271      0.07670789      0.26566734      0.45174668      0.63641348      0.82070579      1.00485866
     6.28817024     68.79718136      0.08177407      0.28513254      0.48504653      0.68389609      0.88185288      1.07976305
     6.16525636     68.61539633      0.08635939      0.30284175      0.51581329      0.72742084      0.93818096      1.14862572
     6.04736149     68.43367072      0.09045595      0.32047037      0.54611239      0.77046668      0.99364233      1.21630863
     5.93436837     68.23067101      0.09476127      0.34013154      0.57977662      0.81760124      1.05485998      1.29218672
     5.82619095     68.04890977      0.10014967      0.36236666      0.61847532      0.87264802      1.12598653      1.37900968
     5.72212041     67.86721936      0.10649040      0.38766605      0.66154655      0.93376832      1.20502673      1.47596353
     5.62131043     67.68560340      0.11243946      0.41429425      0.70819834      0.99991072      1.29033351      1.58011837
     5.52506679     67.50406547      0.11880509      0.44222061      0.75598309      1.06749524      1.37794149      1.68805820
     5.43128953     67.32260919      0.12487970      0.47000542      0.80370555      1.13578460      1.46562041      1.79526617
     5.34127335     67.11887626      0.13140168      0.49917269      0.85563357      1.20856060      1.56097567      1.91208462
     5.25425770     66.99040398      0.13913764      0.53412685      0.91379259      1.29410235      1.67109740      2.04666109
     5.17022321     66.80896730      0.14680914      0.57384295      0.98203101      1.39131090      1.79675808      2.20162059
     5.08904795     66.62762617      0.15574535      0.61533374      1.05538201      1.49404902      1.93018761      2.36488211
     5.01003643     66.42337473      0.16605777      0.65899659      1.13297375      1.60245028      2.07005195      2.53685317
     4.93319663     66.24207532      0.17640573      0.70828233      1.21905171      1.72402945      2.22697470      2.73000176
     4.85907543     66.06088275      0.18828884      0.76535248      1.31671107      1.86436599      2.40895411      2.95283082
     4.78640168     65.87980054      0.20160310      0.83002977      1.43145124      2.02621349      2.61925121      3.21029049
     4.71638177     65.72761750      0.21621941      0.90091659      1.55452973      2.20181172      2.84637261      3.48937162
     4.64832550     65.54651657      0.23074403      0.97693770      1.68792365      2.39045708      3.09333360      3.78930722
     4.58219260     65.36553626      0.24638258      1.06006109      1.83324264      2.59948817      3.35980228      4.11961632
     4.51742559     65.16051381      0.26457147      1.15617445      1.99780938      2.83240543      3.66274572      4.49113789
     4.45453454     64.97962920      0.28468548      1.25871309      2.18034270      3.09283209      3.99927817      4.90561035
     4.39343761     64.79887635      0.30521833      1.37255018      2.38192035      3.37199471      4.37227175      5.34133168
     4.33412575     64.67024589      0.32737852      1.49814819      2.60062016      3.69120150      4.77722195      5.85935735
     4.27557318     64.46487436      0.35035833      1.63578612      2.84478032      4.03919653      5.22748177      6.41325899
     4.21929639     64.28428495      0.37424270      1.78629508      3.11526691      4.40481648      5.71628348      7.01250454
     4.16408129     64.10384087      0.40249791      1.95382174      3.40610113      4.83810551      6.26562582      7.68821871
     4.11009550     63.89824692      0.43213049      2.14582775      3.74464816      5.32293065      6.89447461      8.46299009
     4.05734630     63.71795217      0.46489797      2.36551015      4.13532393      5.87967990      7.61417859      9.34812857
     4.00557736     63.56370317      0.50121761      2.61768719      4.57739468      6.50893001      8.43577514     10.35523385
     3.95547052     63.38347015      0.54047420      2.89575270      5.06998446      7.21647382      9.35318976     11.48077636
     3.90646093     63.20340001      0.58396082      3.21126546      5.63350234      8.02134790     10.39599239     12.76780313
