#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    19.19336263     75.62861565      0.03686825      0.14009971      0.23679473      0.33087813      0.42541983      0.52028496
    18.59157643     75.33553851      0.03788586      0.13973803      0.23573671      0.32974995      0.42386912      0.51804749
    17.95369007     75.09824286      0.03971809      0.14298790      0.24200012      0.33846676      0.43468138      0.53138463
    17.28007526     74.86097689      0.04332057      0.14630919      0.24753419      0.34640735      0.44500263      0.54362287
    16.57389797     74.60847506      0.04443737      0.15241743      0.25862042      0.36195227      0.46508342      0.56802834
    15.84122221     74.31561288      0.04604690      0.15467174      0.26205231      0.36737438      0.47217998      0.57665817
    15.09458426     74.07832906      0.04532288      0.14979219      0.25382231      0.35594131      0.45772199      0.55900480
    14.35070594     73.84110991      0.04395637      0.14304681      0.24210290      0.34000561      0.43709664      0.53384065
    13.62741094     73.60396355      0.04429631      0.14261918      0.24136550      0.33908775      0.43606993      0.53265653
    12.93937437     73.29524019      0.04810344      0.15369764      0.25991724      0.36496149      0.46946496      0.57355089
    12.29503656     73.05811869      0.04440712      0.14133314      0.23874938      0.33546144      0.43142777      0.52726867
    11.69621157     72.82109676      0.04385619      0.13898982      0.23503180      0.33000121      0.42454261      0.51886936
    11.14127591     72.58418246      0.04157072      0.13102942      0.22145636      0.31099376      0.40017199      0.48935821
    10.62655283     72.32992079      0.04164278      0.13108602      0.22132166      0.31076804      0.39994527      0.48905566
    10.14789702     72.03825842      0.04207953      0.13281278      0.22422676      0.31513160      0.40558661      0.49584851
     9.70188121     71.78359727      0.04255126      0.13517888      0.22804061      0.32057939      0.41254745      0.50449940
     9.28630292     71.54684470      0.04458734      0.14156553      0.23898662      0.33555028      0.43257232      0.52876265
     8.89925120     71.31024316      0.04902464      0.15625129      0.26403415      0.37093913      0.47770302      0.58437423
     8.53927169     71.05512128      0.04952543      0.15883716      0.26800185      0.37699725      0.48546799      0.59376227
     8.20535002     70.81862790      0.05432121      0.17485683      0.29526762      0.41523238      0.53504276      0.65440654
     7.89603552     70.50885957      0.05707232      0.18459091      0.31315002      0.43958899      0.56640473      0.69301959
     7.61006399     70.27261065      0.05737465      0.18737026      0.31691182      0.44557090      0.57386966      0.70392786
     7.34559793     70.01689348      0.05915787      0.19511490      0.33020239      0.46497488      0.59868229      0.73331355
     7.10092071     69.78082637      0.06034324      0.20101683      0.34121201      0.48033285      0.61901510      0.75762114
     6.87398320     69.52484289      0.06169548      0.20853934      0.35372527      0.49817821      0.64205262      0.78605651
     6.66321229     69.28899244      0.06973410      0.23709944      0.40294083      0.56774834      0.73169424      0.89595027
     6.46674184     69.03278036      0.07527051      0.26008980      0.44197747      0.62287085      0.80314395      0.98331848
     6.28316648     68.74353580      0.08226104      0.28706577      0.48850524      0.68876316      0.88835993      1.08737336
     6.11097349     68.48720487      0.08823385      0.31191669      0.53176856      0.74966628      0.96700751      1.18413943
     5.94909312     68.25200816      0.09479599      0.33870733      0.57723300      0.81419822      1.05071653      1.28658815
     5.79630598     67.99552854      0.10199791      0.37053430      0.63267969      0.89254987      1.15175581      1.41050272
     5.65192127     67.73886563      0.11058725      0.40755870      0.69610280      0.98242016      1.26802242      1.55280590
     5.51509746     67.50406547      0.11974424      0.44611444      0.76323425      1.07794994      1.39142455      1.70406784
     5.38492897     67.24731144      0.12834752      0.48533983      0.83162880      1.17326901      1.51620405      1.85769035
     5.26110901     66.99040398      0.13900615      0.53198898      0.91264344      1.28949294      1.66528542      2.04036587
     5.14291522     66.75608056      0.15082578      0.58848875      1.01018439      1.42785449      1.84387353      2.25951694
     5.02995517     66.49913965      0.16418236      0.64920876      1.11514561      1.57741948      2.03728736      2.49676391
     4.92191731     66.24207532      0.17824705      0.71740728      1.23429307      1.74691981      2.25671374      2.76546334
     4.81818835     65.98489784      0.19586525      0.80224880      1.38172252      1.95543658      2.52831213      3.09807827
     4.71893643     65.72761750      0.21611279      0.89950993      1.55146288      2.19787809      2.84145479      3.48236375
     4.62321544     65.49413475      0.23742239      1.00886365      1.74330361      2.47097816      3.19417798      3.91545479
     4.53143807     65.23691832      0.26061061      1.13320914      1.96373995      2.78079131      3.59660296      4.41051378
     4.44299460     64.97962920      0.28875623      1.27972609      2.21858145      3.14598958      4.07065282      4.99280004
     4.35780977     64.72227776      0.31795541      1.44789038      2.51298673      3.56629842      4.61446626      5.66054280
     4.27554090     64.46487436      0.35035768      1.63720903      2.84764318      4.04157455      5.23058355      6.41729010
     4.19607567     64.20742938      0.38724962      1.85550009      3.23004701      4.59078568      5.94316415      7.29298471
     4.11952886     63.94995320      0.42769209      2.11284546      3.68598724      5.23898904      6.78431818      8.32590235
     4.04526118     63.71795217      0.47424240      2.42273988      4.26397226      6.02408474      7.80321154      9.57665112
     3.97376572     63.46067661      0.52632857      2.79058658      4.88444611      6.95399076      9.00747393     11.05799380
     3.90425550     63.20340001      0.58451390      3.23029465      5.66713693      8.06796662     10.45676435     12.83937780
