#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    24.50393523     75.62861565      0.02077246      0.07664386      0.13192813      0.18547976      0.23845655      0.29169137
    23.47681872     75.44696317      0.02251661      0.08119706      0.13964646      0.19624288      0.25219432      0.30842414
    22.48482671     75.26523250      0.02471189      0.08774093      0.15055310      0.21148478      0.27213978      0.33241553
    21.52245901     75.04263701      0.02779320      0.09733779      0.16673089      0.23456276      0.30118888      0.36788881
    20.58648229     74.86097689      0.03122181      0.10733074      0.18350143      0.25763873      0.33129878      0.40463885
    19.66967153     74.67925042      0.03279580      0.11098308      0.18945554      0.26605776      0.34197829      0.41783602
    18.76695330     74.49746121      0.03324713      0.11053802      0.18809505      0.26434806      0.33983112      0.41494780
    17.87730329     74.31561288      0.05215025      0.11635302      0.19754312      0.27782278      0.35697131      0.43698839
    17.00379716     74.13370909      0.03784687      0.12153017      0.20642507      0.28985370      0.37275574      0.45550477
    16.15480668     73.96766065      0.04254072      0.13389660      0.22783083      0.32001709      0.41170438      0.50312241
    15.34354232     73.78583448      0.04133313      0.12949503      0.21947590      0.30832817      0.39673529      0.48476009
    14.58374911     73.60396355      0.04180053      0.12949356      0.21931781      0.30810778      0.39649707      0.48446174
    13.88399013     73.42205150      0.04207964      0.13044344      0.22081771      0.31016957      0.39927303      0.48794848
    13.24732520     73.24010199      0.04376610      0.13561466      0.22925258      0.32233311      0.41463695      0.50690100
    12.66847501     73.05811869      0.04405972      0.13577783      0.22872007      0.32160163      0.41375577      0.50576225
    12.14208792     72.87610525      0.04261028      0.13242394      0.22384646      0.31435604      0.40456114      0.49458583
    11.66072292     72.69406534      0.04222656      0.13168741      0.22212096      0.31208883      0.40160809      0.49075399
    11.21835269     72.51200262      0.04020652      0.12525936      0.21159163      0.29728801      0.38271878      0.46776546
    10.80871930     72.38480766      0.04078702      0.12728167      0.21475777      0.30187175      0.38835272      0.47476552
    10.42806641     72.22024754      0.04060450      0.12728704      0.21496662      0.30194530      0.38861565      0.47444687
    10.07242796     72.03825842      0.04146795      0.12963569      0.21876728      0.30729638      0.39549732      0.48373711
     9.73847391     71.85625975      0.04190512      0.13164067      0.22189609      0.31209057      0.40190710      0.49132995
     9.42482711     71.67425520      0.04296430      0.13547395      0.22858208      0.32134719      0.41369796      0.50596877
