#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
    48.14924120     75.62861565      0.08240771      0.20298279      0.34898183     -2.53836699      0.61377170      0.73428852
    44.97183177     75.33553851      0.00673920      0.03167737      0.05707959      0.08163226      0.10598833      0.13020473
    40.79671566     75.09824286      0.00666928      0.02734963      0.04866350      0.06958193      0.08998164      0.11049189
    33.80800889     74.86097689      0.00699239      0.02261855      0.03919274      0.05547033      0.07174028      0.08798810
    25.71096501     74.60847506      0.01473743      0.04621047      0.07950834      0.11266934      0.14595182      0.17830884
    22.22087264     74.31561288      0.02174284      0.06888561      0.11817794      0.16681224      0.21506009      0.26238461
    19.85314980     74.07832906      0.02920691      0.09144472      0.15576549      0.21935898      0.28234082      0.34518709
    17.89434028     73.84110991      0.03263044      0.10017315      0.16951561      0.23842795      0.30691628      0.37514066
    16.19377924     73.60396355      0.03956639      0.11978639      0.20263055      0.28498746      0.36662748      0.44814390
    14.75826799     73.29524019      0.04012752      0.12076947      0.20411086      0.28684982      0.36920656      0.45109351
    13.58702915     73.05811869      0.04068248      0.12295005      0.20781418      0.29179838      0.37551968      0.45900372
    12.63236166     72.82109676      0.04224606      0.12853110      0.21692364      0.30460056      0.39201896      0.47924568
    11.83618017     72.58418246      0.04210554      0.12887823      0.21743708      0.30538296      0.39310760      0.48025417
    11.15391348     72.32992079      0.03989365      0.12262593      0.20687903      0.29050979      0.37393336      0.45689017
    10.55559293     72.03825842      0.04017388      0.12432582      0.20945959      0.29401643      0.37858672      0.46262789
    10.02188525     71.78359727      0.04107959      0.12767542      0.21529586      0.30245441      0.38932883      0.47606183
     9.53989125     71.54684470      0.04232398      0.13180924      0.22233323      0.31237453      0.40209402      0.49174603
     9.10155564     71.31024316      0.04594338      0.14390905      0.24281080      0.34132898      0.43945783      0.53741706
     8.70167369     71.05512128      0.04881173      0.15402764      0.25986688      0.36518247      0.47029593      0.57534944
     8.33630482     70.81862790      0.05128021      0.16271198      0.27493600      0.38655910      0.49771194      0.60900332
     8.00212959     70.50885957      0.05663607      0.18158544      0.30701433      0.43196735      0.55616687      0.68059124
     7.69647465     70.27261065      0.05630333      0.18212384      0.30775548      0.43295671      0.55797144      0.68229824
     7.41658742     70.01689348      0.05835757      0.19056926      0.32282342      0.45440051      0.58525362      0.71948165
     7.15949621     69.78082637      0.05981844      0.19728294      0.33375366      0.47082135      0.60714256      0.74275417
     6.92260074     69.52484289      0.06053667      0.20230071      0.34315508      0.48336480      0.62334873      0.76250072
     6.70419585     69.28899244      0.06784309      0.22906027      0.38911082      0.54802509      0.70662094      0.86455019
     6.50127880     69.03278036      0.07406390      0.25336377      0.43100371      0.60718804      0.78317967      0.95877631
     6.31235685     68.74353580      0.08077709      0.28051008      0.47704158      0.67231921      0.86739016      1.06157162
     6.13617373     68.48720487      0.08696249      0.30618484      0.52157752      0.73544268      0.94866732      1.16138457
     5.97039948     68.25200816      0.09334575      0.33291393      0.56684147      0.79968028      1.03159636      1.26319525
     5.81515245     67.99552854      0.10068947      0.36415601      0.62145943      0.87655165      1.13126134      1.38501994
     5.66817943     67.73886563      0.10927048      0.40070209      0.68445002      0.96599134      1.24692517      1.52734917
     5.52919217     67.50406547      0.11845492      0.43990362      0.75243629      1.06227692      1.37124332      1.67900019
     5.39725087     67.24731144      0.12715668      0.47943541      0.82077305      1.15989558      1.49665400      1.83302694
     5.27220106     66.99040398      0.13785108      0.52541908      0.90068358      1.27261856      1.64337732      2.01398761
     5.15307646     66.75608056      0.14967177      0.58091203      0.99708310      1.40902942      1.82059925      2.23063420
     5.03908970     66.49913965      0.16202902      0.64153709      1.10270946      1.55926460      2.01293362      2.46782212
     4.93011085     66.24207532      0.17594895      0.70949141      1.22061884      1.72614513      2.23064781      2.73366769
     4.82533678     65.98489784      0.19442824      0.79909453      1.36623161      1.93405759      2.49935785      3.06365799
     4.72532020     65.72761750      0.21343734      0.89046705      1.53546728      2.18308165      2.81157679      3.44748749
     4.62931507     65.49413475      0.20934983      0.99864255      1.72531075      2.44514325      3.16108639      3.87487544
     4.53711296     65.23691832      0.25888246      1.12295326      1.94262027      2.75369380      3.56028656      4.36643750
     4.44817108     64.97962920      0.28615543      1.26876693      2.19663724      3.11602207      4.03100507      4.94362244
     4.36234685     64.72227776      0.31636751      1.43533651      2.49122127      3.53494340      4.57433544      5.61009944
     4.27957264     64.46487436      0.34773387      1.62460069      2.82421990      4.01058076      5.19061432      6.36676256
     4.20022023     64.20742938      0.38889918      1.83978539      3.20369965      4.55038723      5.89035017      7.22801423
     4.12324569     63.94995320      0.42416948      2.09546208      3.65444789      5.19547244      6.72748017      8.25669423
     4.04853813     63.71795217      0.47080409      2.40467022      4.20220695      5.97555257      7.74227887      9.49866132
     3.97659880     63.46067661      0.52402013      2.77089397      4.85142827      6.90126638      8.94295310     10.97842699
     3.90732005     63.20340001      0.58106157      3.20350976      5.61939213      7.98241229     10.36797495     12.73000214
